,0
0,114.58368923196365
1,118.01281465828436
2,-21.739852329242453
3,-43.93689854140082
4,-95.91489844208436
5,-44.50742395660585
6,-75.56652596221406
7,23.820835485669548
8,173.8352837856345
9,172.8492895695678
10,-105.40231168859378
11,-20.80202343203156
12,-3.9132377724323923
13,122.99918625290394
14,40.307884207555944
15,45.712849511051154
16,-189.6284909238684
17,22.612545403086827
18,11.641047312746224
19,136.34214311963228
20,64.91625523223436
21,-61.98848843720603
22,-108.19467902060543
23,-7.412127467739261
24,-58.52395275408494
25,11.888977748249062
26,29.237640028738458
27,107.68757889279802
28,24.146856340743128
29,-26.105012033562822
30,110.96807606148187
31,-44.87970964144709
32,216.79993906474377
33,-13.86060516447291
34,-228.6031823797894
35,154.89602116368764
36,-2.2258338959472184
37,12.723034426200748
38,-308.3078766881885
39,77.11075832295663
40,-81.2079177002556
41,-206.63292494158935
42,-238.762881362467
43,134.7573651784889
44,-73.75147767846353
45,105.46370235126916
46,-3.590749267486764
47,20.604383948985962
48,-98.01873539455181
49,-27.516904913913947
50,10.815900096826525
51,-174.4635340243391
52,65.15575177878468
53,-97.80638440529799
54,-106.15185533453372
55,-155.94217761954366
56,62.536103200971056
57,108.62899099849794
58,-74.61034223538361
59,41.739637956913526
60,41.2242983218184
61,-50.804300712063565
62,164.88726191987755
63,43.563598502041245
64,56.93714013579332
65,24.121133377329315
66,81.6773838470437
67,-1.803043160679266
68,-3.0973501062633844
69,1.8097727174264122
70,-23.93972877475408
71,161.874719567322
72,-41.01298990145722
73,21.55607011895752
74,-66.43054418432266
75,-69.27101456042485
76,36.99861689933657
77,-160.49035403214396
78,-1.7615267251174629
79,151.30931871522233
80,-38.021832720623124
81,-120.32068780479312
82,-194.43634494072944
83,36.44938517832746
84,146.4257169139295
85,271.4297347985355
86,-256.9988037748565
87,-88.55126830185819
88,76.26077555149368
89,-89.94264526450455
90,-49.40992379600846
91,125.58830312630627
92,-163.89114721471046
93,-116.8233410664537
94,48.71044037602055
95,98.168406111039
96,-215.58145914478337
97,-121.28895121161884
98,-172.34681947133947
99,-51.25941300949148
